productId,name,supplier,price,category,tags
FUR-FU-10001706,Longer-Life Soft White Bulbs,"Pineda, Stewart and Taylor",6.16,Furniture,Furnishings
FUR-CH-10003061,"Global Leather Task Chair, Black","Howard, Young and Austin",89.99,Furniture,Chairs
OFF-FA-10000304,Advantus Push Pins,Deleon-Taylor,15.26,Office Supplies,Fasteners
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Dickerson Group,1029.95,Technology,Phones
OFF-ST-10000604,Home/Office Personal File Carts,"Phelps, Barnes and Conley",208.56,Office Supplies,Storage
OFF-PA-10001569,Xerox 232,"Blake, Calderon and Sherman",32.4,Office Supplies,Paper
FUR-CH-10003968,Novimex Turbo Task Chair,"Stone, Savage and Goodwin",319.41,Furniture,Chairs
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Moody Inc,14.56,Office Supplies,Paper
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,"Fisher, Jackson and Mccall",30.0,Technology,Accessories
OFF-BI-10001460,Plastic Binding Combs,Ware-Dixon,48.48,Office Supplies,Binders
OFF-AR-10001868,Prang Dustless Chalk Sticks,Alexander-Walker,1.68,Office Supplies,Art
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","Franklin, Brown and Smith",13.98,Technology,Accessories
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Sanchez-White,25.824,Office Supplies,Binders
OFF-PA-10003892,Xerox 1943,Hawkins-Phillips,146.73,Office Supplies,Paper
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,"Brown, Mclaughlin and Fernandez",79.76,Furniture,Furnishings
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray","Johnson, Jones and Mckay",213.115,Furniture,Chairs
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Walters PLC,1113.024,Office Supplies,Art
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Hoover PLC,167.968,Technology,Phones
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Massey PLC,75.88,Office Supplies,Paper
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,"Guerrero, Miller and Boyd",4.616,Office Supplies,Binders
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Cole Ltd,19.05,Office Supplies,Paper
FUR-CH-10000513,High-Back Leather Manager's Chair,Jordan PLC,831.936,Furniture,Chairs
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",King-Austin,97.04,Furniture,Furnishings
OFF-ST-10004123,Safco Industrial Wire Shelving System,Thomas Group,72.784,Office Supplies,Storage
OFF-BI-10004182,Economy Binders,Stephens-Johnson,1.248,Office Supplies,Binders
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Howe Inc,9.708,Furniture,Furnishings
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Harrison-Reed,27.24,Office Supplies,Storage
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","Thompson, Armstrong and Molina",19.3,Furniture,Furnishings
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Harris, Merritt and Barber",208.16,Office Supplies,Appliances
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Hill and Sons,16.74,Office Supplies,Binders
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Nielsen-Barrett,14.9,Office Supplies,Art
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black","Bryant, Graves and Vazquez",21.39,Office Supplies,Storage
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Harris-Todd,200.984,Office Supplies,Envelopes
OFF-ST-10003656,Safco Industrial Wire Shelving,"Stanley, Fischer and Morales",230.376,Office Supplies,Storage
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Lamb-Martin,301.96,Furniture,Chairs
TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Lee Inc,19.99,Technology,Accessories
OFF-LA-10000134,Avery 511,"Parks, Montgomery and Mcgee",6.16,Office Supplies,Labels
OFF-ST-10003442,Eldon Portable Mobile Manager,Smith-Kelly,158.368,Office Supplies,Storage
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Smith and Sons,20.1,Office Supplies,Art
TEC-PH-10004093,Panasonic Kx-TS550,Arnold Inc,73.584,Technology,Phones
OFF-PA-10000304,Xerox 1995,Lawson-Mills,6.48,Office Supplies,Paper
OFF-PA-10003177,Xerox 1999,Bautista and Sons,12.96,Office Supplies,Paper
FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Jackson-Jones,53.34,Furniture,Furnishings
OFF-BI-10002852,Ibico Standard Transparent Covers,Elliott-Stokes,32.96,Office Supplies,Binders
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Baker-Case,5.682,Office Supplies,Binders
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,"Matthews, Contreras and Hernandez",96.53,Furniture,Furnishings
OFF-BI-10001721,Trimflex Flexible Post Binders,Vazquez Group,51.312,Office Supplies,Binders
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,"Vazquez, Saunders and Fernandez",77.88,Office Supplies,Appliances
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,"Bell, Campos and Fernandez",64.624,Office Supplies,Paper
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Ingram Group,95.976,Technology,Accessories
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Aguilar-Ortega,1.788,Office Supplies,Binders
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Johnson and Sons,23.92,Office Supplies,Paper
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,"Cruz, Wright and Mason",238.896,Technology,Accessories
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Wallace Inc,102.36,Furniture,Furnishings
OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","Santiago, Myers and Garrett",36.882,Office Supplies,Binders
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Herrera-Morales,74.112,Technology,Accessories
TEC-PH-10002844,Speck Products Candyshell Flip Case,"Rodriguez, Barrera and Hurst",27.992,Technology,Phones
OFF-AR-10000390,Newell Chalk Holder,"Jones, Norris and Smith",3.304,Office Supplies,Art
TEC-AC-10000844,Logitech Gaming G510s - Keyboard,"Matthews, Morse and George",339.96,Technology,Accessories
FUR-FU-10001934,Magnifier Swing Arm Lamp,"Gomez, Richardson and Hawkins",41.96,Furniture,Furnishings
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Kelley LLC,75.96,Office Supplies,Art
OFF-BI-10003981,"Avery Durable Plastic 1"" Binders","Noble, Turner and Butler",27.24,Office Supplies,Binders
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes","Russell, Carter and Thomas",40.096,Office Supplies,Fasteners
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Allen LLC,4.72,Office Supplies,Envelopes
OFF-PA-10004965,Xerox 1921,Martin Inc,23.976,Office Supplies,Paper
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Schmidt-Harvey,130.464,Office Supplies,Envelopes
FUR-TA-10001768,Hon Racetrack Conference Tables,Sanford-Martin,787.53,Furniture,Tables
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Thompson and Sons,157.794,Office Supplies,Binders
FUR-FU-10002157,Artistic Insta-Plaque,Kim LLC,47.04,Furniture,Furnishings
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,"Romero, Barton and Blake",30.84,Office Supplies,Binders
OFF-ST-10000777,"Companion Letter/Legal File, Black",Adams Group,226.56,Office Supplies,Storage
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,"Jennings, Davis and Carter",115.02,Office Supplies,Envelopes
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,"Hines, Weber and Rodriguez",68.04,Technology,Phones
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,"Lee, Green and Sanchez",600.558,Furniture,Chairs
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Burnett Inc,617.7,Furniture,Tables
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels","Oliver, Neal and Martinez",2.388,Office Supplies,Binders
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black","West, Weber and Brown",243.992,Office Supplies,Storage
FUR-CH-10001146,"Global Task Chair, Black","Torres, Miller and Kelly",81.424,Furniture,Chairs
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Reynolds-Gonzalez,238.56,Furniture,Furnishings
TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Cook Ltd,59.97,Technology,Phones
OFF-PA-10002377,Xerox 1916,Nelson and Sons,78.304,Office Supplies,Paper
OFF-FA-10002780,Staples,Anderson-Humphrey,21.456,Office Supplies,Fasteners
OFF-PA-10001804,Xerox 195,Bridges-Rodriguez,20.04,Office Supplies,Paper
OFF-PA-10001736,Xerox 1880,"Maxwell, Mills and Mathews",35.44,Office Supplies,Paper
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Kent Inc,11.52,Office Supplies,Art
OFF-FA-10002988,Ideal Clamps,Kelley-Wilson,4.02,Office Supplies,Fasteners
OFF-BI-10004781,GBC Wire Binding Strips,Douglas-Bullock,76.176,Office Supplies,Binders
OFF-SU-10001218,Fiskars Softgrip Scissors,Smith-Yates,65.88,Office Supplies,Supplies
FUR-FU-10001706,Longer-Life Soft White Bulbs,"Martin, Peters and Hurst",43.12,Furniture,Furnishings
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","Donaldson, Molina and Sanchez",82.8,Furniture,Furnishings
OFF-AR-10000940,Newell 343,Moore Ltd,8.82,Office Supplies,Art
OFF-EN-10004030,Convenience Packs of Business Envelopes,Wong Inc,10.86,Office Supplies,Envelopes
OFF-PA-10004327,Xerox 1911,"Williams, Miller and Hensley",143.7,Office Supplies,Paper
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,"Freeman, Guzman and Chambers",839.43,Office Supplies,Appliances
OFF-ST-10003656,Safco Industrial Wire Shelving,Herrera PLC,671.93,Office Supplies,Storage
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Hill-Deleon,93.888,Furniture,Furnishings
TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Robinson LLC,384.45,Technology,Phones
TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,"Miller, Shields and Obrien",149.97,Technology,Phones
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","Dixon, Smith and Ramos",1951.84,Furniture,Chairs
OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,"Little, Turner and Nguyen",171.55,Office Supplies,Binders
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Lyons-Meyers,157.92,Office Supplies,Appliances
TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,"Mason, Cowan and Bell",203.184,Technology,Phones
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Farrell Ltd,58.38,Office Supplies,Paper
OFF-PA-10002254,Xerox 1883,Parks PLC,105.52,Office Supplies,Paper
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Walker LLC,80.88,Office Supplies,Storage
OFF-AR-10001547,Newell 311,Hensley-Douglas,6.63,Office Supplies,Art
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,"Dickerson, Cox and Becker",457.568,Furniture,Chairs
OFF-LA-10002475,Avery 519,Salas-Tran,14.62,Office Supplies,Labels
TEC-PH-10004536,Avaya 5420 Digital phone,Johnston-Barry,944.93,Technology,Phones
OFF-PA-10002751,Xerox 1920,"Elliott, Herman and Adams",5.98,Office Supplies,Paper
TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,Sanders Group,54.384,Technology,Accessories
OFF-EN-10001990,Staple envelope,Ryan-Bryan,28.4,Office Supplies,Envelopes
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Farley-Burton,27.68,Office Supplies,Binders
OFF-AR-10004441,BIC Brite Liner Highlighters,"Scott, Hall and Mitchell",9.936,Office Supplies,Art
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,"Schmidt, Rodriguez and Day",8159.952,Technology,Machines
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Mueller-Jackson,275.928,Office Supplies,Storage
FUR-CH-10004287,SAFCO Arco Folding Chair,Terry LLC,1740.06,Furniture,Chairs
OFF-AR-10002656,Sanford Liquid Accent Highlighters,Clayton Ltd,32.064,Office Supplies,Art
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Thompson-Flores,177.98,Office Supplies,Appliances
TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Chen Group,143.976,Technology,Phones
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Edwards and Sons,20.94,Office Supplies,Paper
OFF-PA-10001144,Xerox 1913,Gordon-Hill,110.96,Office Supplies,Paper
FUR-CH-10003817,"Global Value Steno Chair, Gray",Mitchell-Butler,340.144,Furniture,Chairs
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Anderson-Larsen,52.448,Office Supplies,Appliances
OFF-LA-10003148,Avery 51,"Prince, Oconnor and Conley",20.16,Office Supplies,Labels
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Smith Ltd,97.264,Office Supplies,Appliances
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton","Torres, Lang and Rodriguez",396.802,Furniture,Chairs
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,"Hernandez, Walls and Hall",15.88,Office Supplies,Supplies
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Harris-Reynolds,3.28,Office Supplies,Art
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black","Nichols, Braun and Hill",24.816,Office Supplies,Storage
TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Miller LLC,408.744,Technology,Accessories
TEC-PH-10003273,AT&T TR1909W,"Nielsen, Miller and Fowler",503.96,Technology,Phones
TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Henderson Inc,149.95,Technology,Phones
TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,Munoz-Perry,29.0,Technology,Accessories
OFF-BI-10001890,Avery Poly Binder Pockets,Webb-Gonzales,7.16,Office Supplies,Binders
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,"Bryant, Freeman and Alexander",176.8,Technology,Accessories
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Gonzalez Inc,37.224,Office Supplies,Storage
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Frazier and Sons,20.016,Office Supplies,Paper
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Kelley-Burnett,899.136,Furniture,Bookcases
TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Rodriguez-James,71.76,Technology,Phones
OFF-PA-10000061,Xerox 205,Smith-Brown,51.84,Office Supplies,Paper
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Scott-Price,626.352,Furniture,Bookcases
OFF-AR-10003514,4009 Highlighters by Sanford,Griffin PLC,19.9,Office Supplies,Art
OFF-EN-10001509,Poly String Tie Envelopes,Lee-Guerrero,14.28,Office Supplies,Envelopes
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Mcfarland-Taylor,7.408,Office Supplies,Art
OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Marsh-Fox,6.048,Office Supplies,Art
OFF-ST-10001414,Decoflex Hanging Personal Folder File,"Hodge, Bailey and Mann",46.26,Office Supplies,Storage
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Short PLC,2.946,Office Supplies,Binders
OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page","Brown, Simpson and Glover",16.056,Office Supplies,Paper
OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Martinez-Gilmore,21.744,Office Supplies,Paper
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Patrick-Simpson,218.75,Furniture,Tables
OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Mosley-Mccoy,2.6,Office Supplies,Appliances
OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,"Cervantes, Preston and Humphrey",66.284,Office Supplies,Appliances
FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Hendrix Inc,35.168,Furniture,Furnishings
TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,Stevens-Smith,444.768,Technology,Phones
OFF-ST-10000642,"Tennsco Lockers, Gray",Rivera-Burke,83.92,Office Supplies,Storage
TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Burnett and Sons,131.98,Technology,Phones
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Clarke-Robinson,15.92,Office Supplies,Binders
OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",Thomas Group,52.29,Office Supplies,Fasteners
OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h","Turner, Nunez and Chambers",91.99,Office Supplies,Storage
TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Vasquez-Smith,20.8,Technology,Accessories
OFF-LA-10004544,Avery 505,"Phillips, Harmon and Hill",23.68,Office Supplies,Labels
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Flynn and Sons,452.45,Furniture,Bookcases
TEC-PH-10002844,Speck Products Candyshell Flip Case,"Mason, Blake and Moore",62.982,Technology,Phones
TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Johnson Inc,1188.0,Technology,Machines
TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Montgomery-Johnson,89.584,Technology,Accessories
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Dorsey-Reilly,93.06,Office Supplies,Storage
TEC-PH-10002563,Adtran 1202752G1,"Morrison, Alvarado and Garcia",302.376,Technology,Phones
OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,Barnett and Sons,5.584,Office Supplies,Fasteners
OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Fernandez Ltd,22.704,Office Supplies,Paper
OFF-BI-10002852,Ibico Standard Transparent Covers,"Clark, Woods and Newman",19.776,Office Supplies,Binders
FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Murphy Ltd,72.704,Furniture,Furnishings
TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,"Hughes, Hicks and Holloway",479.988,Technology,Machines
OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Gray-Washington,27.168,Office Supplies,Art
OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Moore Group,2.2,Office Supplies,Art
FUR-TA-10003748,Bevis 36 x 72 Conference Tables,"White, French and Nguyen",622.45,Furniture,Tables
OFF-ST-10002485,Rogers Deluxe File Chest,Washington PLC,21.98,Office Supplies,Storage
FUR-CH-10004860,Global Low Back Tilter Chair,Odom-Booth,161.568,Furniture,Chairs
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo","Yang, Martinez and Thompson",389.696,Furniture,Chairs
OFF-BI-10001679,GBC Instant Index System for Binding Systems,Hernandez Ltd,18.648,Office Supplies,Binders
FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Garza-Howard,233.86,Furniture,Tables
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Blake Ltd,620.6145,Furniture,Tables
OFF-BI-10001679,GBC Instant Index System for Binding Systems,Petersen Ltd,5.328,Office Supplies,Binders
FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""","Mullen, Kelly and Martin",258.072,Furniture,Furnishings
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Graham-Juarez,617.976,Technology,Accessories
